device: xxx
tester: ich
Leerzeile |
          V

- property 1
- property 2
- property 3

trash



orifice	flow_rate	dp_1	dp_2
1	0.0	194.49682926191124	0.52723947283774
2	3.5714285714285716	192.22998179318816	0.8809830622409638
3	7.142857142857143	206.20423394865568	5.986716035529502
4	        10.714285714285715	186.42635479343488	13.4031161187664
5  14.285714285714286	175.9865004136926	24.233185195624618
6	17.857142857142858	164.49040174562143	41.179774195650666
7	21.42857142857143	152.68007992149444	56.47864808881865
8	25.0	134.74258465553845	79.33121521664245
9	28.571428571428573	119.44796980067517	102.3369668673534
10	32.142857142857146     96.27744118828696	129.1516013965095
11	35.714285714285715	73.42684324960902	159.16984628468344
11.5   NaN      5   abc
12	39.285714285714285	58.06116187152658	188.25530353352542
13	42.85714285714286	25.91384983732478	227.46047852848505
